No.,SAMPLE_ID,식품명,,제조사,조사년도,식품분류,식품상세분류,식품코드,출처,1포장당,에너지(Kcal),에너지(kj),단백질(g),지질(g),탄수화물(g),총당류(g),나트륨(mg),콜레스테롤(mg),총 포화 지방산(g),총 포화 지방산(%),트랜스 지방산(g)
1,P064392-ZZ-AVG,NEW 공화춘곱빼기,,(주) 팔도,2021,가공식품,유탕면,P064392,식약처('21),230,745,-,14,36,91,7,1230,10,15,-,0
2,P064393-ZZ-AVG,NEW 공화춘자장컵,,(주) 팔도,2021,가공식품,유탕면,P064393,식약처('21),200,620,-,11,31,74,7,1130,10,12,-,0
3,P064394-ZZ-AVG,강릉 교동반점 직화짬뽕소컵,,(주) 팔도,2021,가공식품,유탕면,P064394,식약처('21),65,290,-,6,12,39,3,1040,5,6,-,0
4,P064395-ZZ-AVG,꼬꼬누룽지탕면,,(주) 팔도,2021,가공식품,유탕면,P064395,식약처('21),120,505,-,9,13,88,4,1670,2,6,-,0
5,P064396-ZZ-AVG,뉴트리 클로렐라컵면,,(주) 팔도,2021,가공식품,유탕면,P064396,식약처('21),65,300,-,6,12,41,1,940,8,6,-,0
6,P064397-ZZ-AVG,뉴트리김치찌개면,,(주) 팔도,2021,가공식품,유탕면,P064397,식약처('21),140,480,-,6,20,66,1,1870,3.5,11,-,0
7,P064398-ZZ-AVG,더왕뚜껑컵 순한맛,,(주) 팔도,2021,가공식품,유탕면,P064398,식약처('21),101,420,-,8,13,68,4,1690,0,6,-,0
8,P064399-ZZ-AVG,독도사랑새우맛라면,,(주) 팔도,2021,가공식품,유탕면,P064399,식약처('21),105,450,-,11,14,70,4,1790,33,7,-,0
9,P064400-ZZ-AVG,민생라면컵,,(주) 팔도,2021,가공식품,유탕면,P064400,식약처('21),80,350,-,7,12,53,2,1470,0,2.6,-,0
10,P064401-ZZ-AVG,봉희설렁탕컵,,(주) 팔도,2021,가공식품,유탕면,P064401,식약처('21),110,525,-,8,25,67,3,1780,0,13,-,0
11,P064402-ZZ-AVG,뽀로로스파게티,,(주) 팔도,2021,가공식품,유탕면,P064402,식약처('21),65,295,-,5,12,42,6,610,0,6,-,0
12,P064403-ZZ-AVG,뽀로로짜장,,(주) 팔도,2021,가공식품,유탕면,P064403,식약처('21),65,290,-,6,11,42,4,600,0,5,-,0
13,P064404-ZZ-AVG,왕뚜껑컵,,(주) 팔도,2021,가공식품,유탕면,P064404,식약처('21),65,285,-,5,9,46,3,1050,0,4.3,-,0
14,P064405-ZZ-AVG,육개장 컵라면,,(주) 팔도,2021,가공식품,유탕면,P064405,식약처('21),79,345,-,7,11,55,3,1460,0,5,-,0
15,P064406-ZZ-AVG,일품해물라면 왕컵,,(주) 팔도,2021,가공식품,유탕면,P064406,식약처('21),110,470,-,11,15,73,4,1620,9,7,-,0
