식품명,No.,SAMPLE_ID,성분,제조사,조사년도,식품분류,식품상세분류,식품코드,출처,1포장당,에너지(Kcal),에너지(kj),단백질(g),지질(g),탄수화물(g),총당류(g),나트륨(mg),콜레스테롤(mg),총 포화 지방산(g),총 포화 지방산(%),트랜스 지방산(g),면,스프
NEW 공화춘곱빼기,1,P064392-ZZ-AVG,,(주) 팔도,2021,가공식품,유탕면,P064392,식약처('21),230,745.0,-,14,36,91,7.0,1230.0,10,15,-,0,"소맥분(미국산,호주산),변성전분,팜유(말레이시아산,글루텐,감미유S,정제염,양파농축액,면류첨가알칼리제(탄산칼륨,탄산나트륨,제이인산나트륨),구아검,산도조절제,비타민B2,녹차풍미액","양파(중국산),정제수,춘장11.48%(소맥분,카라멜색소,대두,정제염,종국),감자,돈지,짜장풍미유(채종유,혼합올리브유,건양파,샬롯후레바,건마늘),설탕,돼지고기,변성전분,덱스트린,전분,대두단백후레이크,L-글루탐산나트륨(향미증진제),생강농축액,정제염,항미증진제,대합액기스분말,산도조절제,조미맛분"
NEW 공화춘자장컵,2,P064393-ZZ-AVG,,(주) 팔도,2021,가공식품,유탕면,P064393,식약처('21),200,620.0,-,11,31,74,7.0,1130.0,10,12,-,0,"소맥분(밀:미국산,호주산)팜유(말레이시아산)변성전분,글루텐전분양파농축액 정제염 산도조절제,면류첨가알칼리제(탄산칼륨,탄산나트륨,제이인산나트륨, 구아검, 김미유, 비타민B, 녹차풍미액·자장","양파(중국산),정제수,춘장(소맥분(밀),카라멜색소,대두(대두),정제염,종국, 감자,돈지(돼지고기), 설탕, 돼지고기, 변성전분,덱스트린, 전분,L-글루타민산나트륨(향미증진제),생강농축액, 정제염, 향미증진제, 대합엑기스분말,산도조절제"
강릉 교동반점 직화짬뽕소컵,3,P064394-ZZ-AVG,,(주) 팔도,2021,가공식품,유탕면,P064394,식약처('21),65,290.0,-,6,12,39,3.0,1040.0,5,6,-,0,"소맥분(미국산,호주산),변성전분,팜유(말레이시아산),감자전분(독일산,덴마크산),글루텐,감미유S,정제염,야채풍미액,면류첨가알칼리제(탄산칼륨,탄산나트륨,피로인산나트함),구아검,산도조절제,알긴산프로필렌글리골,녹차풍미액,비타민B2","짬뽕페이스트,L-글루탐산나트륨(향미증진제),해물짬뽕분말,설탕,건양배추,건청경채,정제염,육수풍미분말,낙지볶음페이스트,조미비프후레이크,철판향미유,정제수,짬뽕맛베이스,혼합야채엑기스,돈골농축분말,양조간장,건오징어,조미간장양념분,간장분말,맛나베이스,매운양념분말,조미분에이,간장조미분말,고춧가루,볶음양념분말,새우분말,양파농축액,변성전분,볶음고추분말,파프리카추출색소,이산화규소,청양고추엑기스분말,향미증진제,생강풍미분말,덱스트린"
꼬꼬누룽지탕면,4,P064395-ZZ-AVG,,(주) 팔도,2021,가공식품,유탕면,P064395,식약처('21),120,505.0,-,9,13,88,4.0,1670.0,2,6,-,0,"소맥분(미국산,호주산),팜유(말레이시아산),변성전분,감자전분,감미유S,정제염,야채풍미액,글루텐,면류첨가알칼리제(탄산칼륨,탄산나트륨,피로인산나트륨),구아검,산도조절제,알긴산프로필렌글리콜,녹차풍미액,비타민B2","구수한즉석누룽지(쌀99.9%(국내산),정제소금0.1%),닭육수분말,치킨스톡분말,설탕,치킨브로스분말,치킨스프베이스,맛베이스,인삼맛분말,정제염,간장조미분말,건당근,건파,복합감칠맛분말,치킨풍미분말,계란후레이크,조미맛분,고춧가루,볶음된장분말,청양고추엑기스분말,건조지단,건홍피망,조미닭고기후레이크,치킨향분말,덱스트린,감칠맛조미분,산도조절제,치킨팻,향미증진제,청양고추추출물분말,흑후추분말"
뉴트리 클로렐라컵면,5,P064396-ZZ-AVG,,(주) 팔도,2021,가공식품,유탕면,P064396,식약처('21),65,300.0,-,6,12,41,1.0,940.0,8,6,-,0,"소맥분(밀:미국산,호주산),팜유(말레이시아산),감자전분,변성전분,정제염,감미유S,야채풍미액,난각분말(계란),클로렐라원말,면류첨가알칼리제(탄산칼륨,탄산나트륨,제이인산나트륨),구아검,산도조절제,녹차풍미액,디에이취에이칼슘분말-5(우유),발아현미분말","설탕,오징어조미분말,정제염,가쓰오베이스분말(밀), 덱스트린, 가쓰오분말, 지미베이스, 건오징어, 복합간장조미분말, 감칠맛조미분, 간장분말(우유,대두,돼지고기), 고농축간장분말, 조미분에이, 양조간장분말, 건파, 건당근, 불고기맛분말, 효모조미액분말, 세이보리분말, 건미역, 조미마늘분-3, 조미건조홍고추, 향미증진제, 멸치분말, 산도조절제, 다시마엑기스분말, 흑후추분말, 고춧가루, 대합엑기스분말, 대두유 특정성분 면중 클로렐라원말 0.260%(국산)포함"
뉴트리김치찌개면,6,P064397-ZZ-AVG,,(주) 팔도,2021,가공식품,유탕면,P064397,식약처('21),140,480.0,-,6,20,66,1.0,1870.0,3.5,11,-,0,"소맥분(미국산, 호주산),팜유(말레이시아산),변성전분,감자전분,감미유S,정제염,면류첨가알칼리제(탄산칼륨, 탄산나트륨, 제이인산나트륨), 야채풍미액, 구아검, 산도조절제, 녹차풍미액, 비타민B2","종가집 맛김치[절임배추(국산), 종가집김치전용풀, 무, 고춧가루, 양파], 정제염, 대두유, L-글루타민산나트륨(향미증진제), 볶음고추분말, 육수풍미분말, 돈골농축분말, 김치찌개분말, 김치스프베이스, 김치맛분말, 복합간장조미분말, 건파, 설탕, 건양파, 간장분말, 변성전분, 조미마늘분, 사골된장분말, 건마늘, 분말된장, 고추장양념분말, 청양고추엑기스분말, 정제수, 산도조절제, 흑후추분말, 고춧가루, 건홍피망, 파프리카추출색소, 양파문말, 향미증진제, 마늘향오일, 덱스트린 *특정성분: 분말스프 중 건김치함량 6.9%, 김치스프 중 김치함량 94.0%"
더왕뚜껑컵 순한맛,7,P064398-ZZ-AVG,,(주) 팔도,2021,가공식품,유탕면,P064398,식약처('21),101,420.0,-,8,13,68,4.0,1690.0,0,6,-,0,"소맥분(미국산,호주산), 변성전분,팜유(말레이시아산),감자전분(독일산, 덴마크산),제면용탕종분, 감미유S,정제염,야채풍미브로스,글루텐,감미유S, 면류첨가알칼리제(탄산나트륨,탄산칼륨,제이인산나트륨),구아검,산도조절제, 알긴산프로필렌글리콜,녹차풍미액,비타민B2","감칠맛베이스,쇠고기국밥베이스,건청경채,고추풍미분말,정제염,설탕, 쇠고기장분말,조미분에이, 풍미유에이스분말,사골엑기스분말,조미마늘분, 소고기맛조미후레이크,조미농축분말,양지베이스분말,비프스톡분말,돈골 농축분말,볶음고추분말,복합간장조미분말, 장국베이스,쇠고기맛분,사골된장 분말,건파,무국맛분말,건당근,표고버섯엑기스분말,흑후추분말,덱스트린,향미 증진제,고추입자,산도조절제, 파프리카추출색소"
독도사랑새우맛라면,8,P064399-ZZ-AVG,,(주) 팔도,2021,가공식품,유탕면,P064399,식약처('21),105,450.0,-,11,14,70,4.0,1790.0,33,7,-,0,"소맥분(미국산,호주산),팜유(말레이시아산, 변성전분, 감자전분(독일산,덴마크산),감미유,정제염,야채풍미액,글루텐,면류첨가알칼리제,탄산칼륨,탄산나트륨,피로인산나트륨,구아검,산도조절제알긴산프로필렌글리콜,녹차풍미액,비타민B2","새우탕맛베이스,건새우,청경채,정제염,홍합볼후레이크,새우분말,L-글루탐산나트륨(향미증진제),건당근,육수조미분,간장분말,매운양념분말,건미역장국베이스,간장조미분말,복합간장조미분말,오징어조미분말,고춧가루,김치맛콩나물분말,혼합조미료,조미마늘분,사골된장분말,조미양념분,미더덕엑기스분말,건파,풍미유베이스분말,흑후추분말,조미맛분,건홍피망,대합엑기스분말,다시마엑기스분말,파프리카추출색소,향미증진제,이산화규소,아미노산혼합제제,영양강화제향미증진제,스프중새우13.7%(국산58.0%,인도/파키스탄산42.0%)함유(건조물기준)"
민생라면컵,9,P064400-ZZ-AVG,,(주) 팔도,2021,가공식품,유탕면,P064400,식약처('21),80,350.0,-,7,12,53,2.0,1470.0,0,2.6,-,0,"소맥분(미국산, 호주산), 팜유(말레이시아산), 변성전분, 감자전분(독일산, 덴마크셀, 감미유S, 정제염, 야채풍미액, 글루텐, 면류첨가알칼리제(탄산칼륨,탄산나트륨, 피로인산나트륨), 구아검,산도조절제, 알긴산프로필렌글리콜,녹차풍미액, 비타민B2","정제염,L-글루탐산나트륨(향미증진제), 고춧가루, 복합간장조미분말, 건청경채,건당근,건양배추, 설탕, 불고기맛분말, 장국베이스, 간장조미분말, 쇠고기맛분, 고농축간장분말, 조미양념분, 조미마늘분 치킨스톡분말, 사골엑기스분말, 쇠고기조미분말, 매운풍미분, 전분, 매운맛베이스,산도조절 제 향미증진제, 흑후추분말, 파프리카추출색소, 비프시즈닝오일, 시즈닝조미액"
봉희설렁탕컵,10,P064401-ZZ-AVG,,(주) 팔도,2021,가공식품,유탕면,P064401,식약처('21),110,525.0,-,8,25,67,3.0,1780.0,0,13,-,0,"소맥분(미국산, 호주산), 변성전분, 팜유(말레이시아산), 정제염(국내산),감미유, 글루텐, 양파농축액,면류첨가알칼리제(탄산칼륨,탄산나트륨,제이인산나트륨),전분,구아검,산도조절제,녹차풍미액","사골설렁탕분말,정제염,설탕,L-글루탐산나트륨(향미증진제),건파,가공유장분,옥수조미분,조미마늘분,비프풍미료,비프시즈닝오일분말,흑후추분말,조미불고기분말,산도조절제,비프시즈닝오일,향미증진제"
